match_id,champion,kills,deaths,assists,combat_events,all_fights,my_fights,fight_wins,fight_evens,fight_losses,survived_fights,died_fights,small_fights,skirmishes,teamfights,early_fights,mid_fights,late_fights,objective_before_gain,objective_before_loss,objective_during_gain,objective_during_loss,objective_after_gain,objective_after_loss
JP1_564168576,Galio,5,3,7,15,30,9,6,1,2,6,3,4,3,2,7,2,0,2,1,0,0,2,0
JP1_564172268,Galio,1,2,1,4,9,3,1,0,2,1,2,0,3,0,3,0,0,0,1,0,1,0,0
JP1_564173708,Galio,0,0,3,3,14,2,2,0,0,2,0,0,2,0,2,0,0,0,1,0,0,1,0
JP1_564362225,Galio,0,5,0,5,14,5,0,0,5,0,5,0,3,2,1,4,0,1,2,1,1,0,4
JP1_564369314,Galio,4,5,6,15,31,12,8,0,4,7,5,4,2,3,5,5,2,0,2,0,1,4,2
JP1_564380129,Janna,0,11,9,20,22,14,3,1,10,3,11,3,4,7,4,7,3,0,2,0,1,2,5
JP1_564388546,Galio,2,4,6,12,25,7,3,2,2,3,4,3,2,1,1,4,2,0,0,0,0,1,0
JP1_564603868,Braum,4,4,5,13,19,7,2,2,3,3,4,2,2,3,4,2,1,0,1,1,1,2,0
JP1_564620424,Zyra,2,3,8,13,26,7,6,1,0,4,3,4,2,1,7,0,0,0,0,2,0,1,0
JP1_564626851,Zyra,2,12,11,25,32,14,3,2,9,3,11,3,6,4,9,5,0,1,3,0,3,0,3
JP1_565019511,Ahri,7,4,5,16,23,10,6,0,4,6,4,3,5,2,2,3,5,0,2,0,0,1,3
JP1_565029333,Ahri,1,5,2,8,26,7,1,1,5,2,5,4,1,1,1,5,1,0,3,0,0,0,3
JP1_565034397,Braum,1,6,26,33,27,12,7,0,5,7,5,2,3,6,0,6,6,0,3,1,2,2,2
JP1_565038384,Seraphine,2,8,13,23,35,13,5,1,7,6,7,4,4,5,3,6,4,0,6,0,2,2,2
JP1_565208717,Morgana,1,7,4,12,23,9,3,0,6,2,7,2,5,2,3,2,4,0,2,0,1,0,3
JP1_565220687,Braum,1,4,16,21,25,13,9,1,3,9,4,5,5,3,2,2,9,5,0,1,1,3,1
JP1_565241192,Galio,4,8,25,37,24,15,9,3,3,7,8,0,6,8,2,6,7,2,1,2,1,5,1
JP1_565251699,Galio,1,0,3,4,11,3,3,0,0,3,0,1,2,0,2,1,0,0,1,0,0,1,0
JP1_565255810,Galio,6,1,8,15,16,10,10,0,0,9,1,6,4,0,4,6,0,1,2,0,0,3,0
JP1_565262355,Galio,5,6,14,25,26,15,7,3,5,9,6,5,6,2,7,7,1,1,1,0,0,5,0
JP1_565268387,Galio,5,8,20,33,37,21,10,3,8,13,8,5,7,8,4,5,12,2,2,0,0,6,5
JP1_565274830,Janna,0,5,2,7,22,6,1,0,5,1,5,1,4,1,3,3,0,0,0,0,1,0,1
JP1_565278528,Galio,0,5,5,10,23,9,3,1,5,4,5,3,5,1,2,3,4,0,4,0,1,1,1
JP1_565469793,Galio,2,3,10,15,31,11,8,0,3,8,3,2,5,2,3,3,5,0,0,2,0,4,0
